"Notes","Disease","Disease Code","Year","Year Code","Race/Ethnicity","Race/Ethnicity Code","Sex","Sex Code","Age","Age Code",STD Cases,Population,Rate
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Female","F","0-14 years","0-14",189,296512,63.74
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Female","F","15-19 years","15-19",2385,91364,2610.44
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Female","F","20-24 years","20-24",1959,78758,2487.37
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Female","F","25-29 years","25-29",829,77215,1073.63
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Female","F","30-34 years","30-34",416,83624,497.46
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Female","F","35-39 years","35-39",225,88205,255.09
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Female","F","40+ years","40+",180,331177,54.35
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Female","F","Unknown","99",55,Not Applicable,Not Applicable
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Male","M","0-14 years","0-14",21,305610,6.87
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Male","M","15-19 years","15-19",340,94989,357.94
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Male","M","20-24 years","20-24",379,82432,459.77
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Male","M","25-29 years","25-29",198,78786,251.31
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Male","M","30-34 years","30-34",112,80773,138.66
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Male","M","35-39 years","35-39",40,82416,48.53
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Male","M","40+ years","40+",38,291236,13.05
,"Chlamydia","274","1996","1996","American Indian or Alaska Native","1002-5","Male","M","Unknown","99",9,Not Applicable,Not Applicable
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Female","F","0-14 years","0-14",127,1019342,12.46
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Female","F","15-19 years","15-19",1469,336280,436.84
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Female","F","20-24 years","20-24",1518,396458,382.89
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Female","F","25-29 years","25-29",712,463833,153.50
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Female","F","30-34 years","30-34",320,453511,70.56
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Female","F","35-39 years","35-39",162,437655,37.02
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Female","F","40+ years","40+",123,1724026,7.13
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Female","F","Unknown","99",126,Not Applicable,Not Applicable
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Male","M","0-14 years","0-14",14,1068143,1.31
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Male","M","15-19 years","15-19",179,350957,51.00
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Male","M","20-24 years","20-24",299,403209,74.16
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Male","M","25-29 years","25-29",157,429473,36.56
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Male","M","30-34 years","30-34",88,421462,20.88
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Male","M","35-39 years","35-39",47,408581,11.50
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Male","M","40+ years","40+",52,1460307,3.56
,"Chlamydia","274","1996","1996","Asian or Pacific Islander","A-PI","Male","M","Unknown","99",9,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Female","F","0-14 years","0-14",203,300308,67.60
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Female","F","15-19 years","15-19",2316,95588,2422.90
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Female","F","20-24 years","20-24",1900,79375,2393.70
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Female","F","25-29 years","25-29",827,78797,1049.53
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Female","F","30-34 years","30-34",400,83069,481.53
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Female","F","35-39 years","35-39",179,90368,198.08
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Female","F","40+ years","40+",159,345591,46.01
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Female","F","Unknown","99",97,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Male","M","0-14 years","0-14",14,309658,4.52
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Male","M","15-19 years","15-19",248,98826,250.95
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Male","M","20-24 years","20-24",306,82655,370.21
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Male","M","25-29 years","25-29",131,80595,162.54
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Male","M","30-34 years","30-34",72,80426,89.52
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Male","M","35-39 years","35-39",49,84637,57.89
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Male","M","40+ years","40+",28,304603,9.19
,"Chlamydia","274","1997","1997","American Indian or Alaska Native","1002-5","Male","M","Unknown","99",23,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Asian or Pacific Islander","A-PI","Female","F","0-14 years","0-14",106,1049634,10.10
,"Chlamydia","274","1997","1997","Asian or Pacific Islander","A-PI","Female","F","15-19 years","15-19",1613,356356,452.64
,"Chlamydia","274","1997","1997","Asian or Pacific Islander","A-PI","Female","F","20-24 years","20-24",1629,405171,402.05
,"Chlamydia","274","1997","1997","Asian or Pacific Islander","A-PI","Female","F","25-29 years","25-29",759,492357,154.16
,"Chlamydia","274","1997","1997","Asian or Pacific Islander","A-PI","Female","F","30-34 years","30-34",361,470810,76.68
,"Chlamydia","274","1997","1997","Asian or Pacific Islander","A-PI","Female","F","35-39 years","35-39",205,452834,45.27
,"Chlamydia","274","1997","1997","Asian or Pacific Islander","A-PI","Female","F","40+ years","40+",158,1836419,8.60
,"Chlamydia","274","1997","1997","Asian or Pacific Islander","A-PI","Female","F","Unknown","99",114,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Asian or Pacific Islander","A-PI","Male","M","0-14 years","0-14",14,1099645,1.27
,"Chlamydia","274","1997","1997","Asian or Pacific Islander","A-PI","Male","M","15-19 years","15-19",234,371536,62.98
,"Chlamydia","274","1997","1997","Asian or Pacific Islander","A-PI","Male","M","20-24 years","20-24",361,408509,88.37
