"Notes","Disease","Disease Code","Year","Year Code","Race/Ethnicity","Race/Ethnicity Code","Sex","Sex Code","Age","Age Code",STD Cases,Population,Rate
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Female","F","0-14 years","0-14",4571,4347166,105.15
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Female","F","15-19 years","15-19",55705,1361809,4090.51
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Female","F","20-24 years","20-24",36920,1254149,2943.83
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Female","F","25-29 years","25-29",12746,1312237,971.32
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Female","F","30-34 years","30-34",4634,1420597,326.20
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Female","F","35-39 years","35-39",2163,1433542,150.88
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Female","F","40+ years","40+",1470,5829125,25.22
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Female","F","Unknown","99",1523,Not Applicable,Not Applicable
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Male","M","0-14 years","0-14",389,4468201,8.71
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Male","M","15-19 years","15-19",8422,1388171,606.70
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Male","M","20-24 years","20-24",9881,1191417,829.35
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Male","M","25-29 years","25-29",4803,1177142,408.02
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Male","M","30-34 years","30-34",2333,1256244,185.71
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Male","M","35-39 years","35-39",1158,1255806,92.21
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Male","M","40+ years","40+",1072,4502932,23.81
,"Chlamydia","274","1996","1996","Black or African American","2054-5","Male","M","Unknown","99",551,Not Applicable,Not Applicable
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Female","F","0-14 years","0-14",1325,4246529,31.20
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Female","F","15-19 years","15-19",17714,1231366,1438.56
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Female","F","20-24 years","20-24",15806,1233537,1281.36
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Female","F","25-29 years","25-29",7052,1291760,545.92
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Female","F","30-34 years","30-34",2905,1284364,226.18
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Female","F","35-39 years","35-39",1161,1109077,104.68
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Female","F","40+ years","40+",782,3696451,21.16
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Female","F","Unknown","99",687,Not Applicable,Not Applicable
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Male","M","0-14 years","0-14",163,4438461,3.67
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Male","M","15-19 years","15-19",2546,1378375,184.71
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Male","M","20-24 years","20-24",3416,1442103,236.88
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Male","M","25-29 years","25-29",1717,1528680,112.32
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Male","M","30-34 years","30-34",785,1451077,54.10
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Male","M","35-39 years","35-39",340,1193909,28.48
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Male","M","40+ years","40+",295,3343289,8.82
,"Chlamydia","274","1996","1996","Hispanic","Hispanic","Male","M","Unknown","99",226,Not Applicable,Not Applicable
,"Chlamydia","274","1996","1996","White","2106-3","Female","F","0-14 years","0-14",2612,17597763,14.84
,"Chlamydia","274","1996","1996","White","2106-3","Female","F","15-19 years","15-19",41994,5817041,721.91
,"Chlamydia","274","1996","1996","White","2106-3","Female","F","20-24 years","20-24",30188,5488612,550.01
,"Chlamydia","274","1996","1996","White","2106-3","Female","F","25-29 years","25-29",9667,6357706,152.05
,"Chlamydia","274","1996","1996","White","2106-3","Female","F","30-34 years","30-34",3481,7268446,47.89
,"Chlamydia","274","1996","1996","White","2106-3","Female","F","35-39 years","35-39",1685,7903156,21.32
,"Chlamydia","274","1996","1996","White","2106-3","Female","F","40+ years","40+",1303,44644895,2.92
,"Chlamydia","274","1996","1996","White","2106-3","Female","F","Unknown","99",617,Not Applicable,Not Applicable
,"Chlamydia","274","1996","1996","White","2106-3","Male","M","0-14 years","0-14",195,18583175,1.05
,"Chlamydia","274","1996","1996","White","2106-3","Male","M","15-19 years","15-19",3625,6133651,59.10
,"Chlamydia","274","1996","1996","White","2106-3","Male","M","20-24 years","20-24",5421,5648283,95.98
,"Chlamydia","274","1996","1996","White","2106-3","Male","M","25-29 years","25-29",2591,6420681,40.35
,"Chlamydia","274","1996","1996","White","2106-3","Male","M","30-34 years","30-34",1234,7371444,16.74
,"Chlamydia","274","1996","1996","White","2106-3","Male","M","35-39 years","35-39",672,7955029,8.45
,"Chlamydia","274","1996","1996","White","2106-3","Male","M","40+ years","40+",677,38809904,1.74
,"Chlamydia","274","1996","1996","White","2106-3","Male","M","Unknown","99",120,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Female","F","0-14 years","0-14",4615,4389985,105.13
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Female","F","15-19 years","15-19",62080,1392494,4458.19
