"Notes","Year","Year Code","Race/Ethnicity","Race/Ethnicity Code","Age","Age Code","Sex","Sex Code","Disease","Disease Code",STD Cases,Population,Rate
,"1996","1996","American Indian or Alaska Native","1002-5","0-14 years","0-14","Female","F","Chlamydia","274",189,296512,63.74
,"1996","1996","American Indian or Alaska Native","1002-5","0-14 years","0-14","Female","F","Gonorrhea","280",31,301607,10.28
,"1996","1996","American Indian or Alaska Native","1002-5","0-14 years","0-14","Male","M","Chlamydia","274",21,305610,6.87
,"1996","1996","American Indian or Alaska Native","1002-5","0-14 years","0-14","Male","M","Gonorrhea","280",8,310831,2.57
,"1996","1996","American Indian or Alaska Native","1002-5","15-19 years","15-19","Female","F","Chlamydia","274",2385,91364,2610.44
,"1996","1996","American Indian or Alaska Native","1002-5","15-19 years","15-19","Female","F","Gonorrhea","280",351,92917,377.76
,"1996","1996","American Indian or Alaska Native","1002-5","15-19 years","15-19","Female","F","Primary and Secondary Syphilis","310",1,90545,1.10
,"1996","1996","American Indian or Alaska Native","1002-5","15-19 years","15-19","Male","M","Chlamydia","274",340,94989,357.94
,"1996","1996","American Indian or Alaska Native","1002-5","15-19 years","15-19","Male","M","Gonorrhea","280",108,96468,111.95
,"1996","1996","American Indian or Alaska Native","1002-5","15-19 years","15-19","Male","M","Primary and Secondary Syphilis","310",1,94061,1.06
,"1996","1996","American Indian or Alaska Native","1002-5","20-24 years","20-24","Female","F","Chlamydia","274",1959,78758,2487.37
,"1996","1996","American Indian or Alaska Native","1002-5","20-24 years","20-24","Female","F","Gonorrhea","280",294,80096,367.06
,"1996","1996","American Indian or Alaska Native","1002-5","20-24 years","20-24","Female","F","Primary and Secondary Syphilis","310",5,77982,6.41
,"1996","1996","American Indian or Alaska Native","1002-5","20-24 years","20-24","Male","M","Chlamydia","274",379,82432,459.77
,"1996","1996","American Indian or Alaska Native","1002-5","20-24 years","20-24","Male","M","Gonorrhea","280",152,83914,181.14
,"1996","1996","American Indian or Alaska Native","1002-5","20-24 years","20-24","Male","M","Primary and Secondary Syphilis","310",2,81774,2.45
,"1996","1996","American Indian or Alaska Native","1002-5","25-29 years","25-29","Female","F","Chlamydia","274",829,77215,1073.63
,"1996","1996","American Indian or Alaska Native","1002-5","25-29 years","25-29","Female","F","Gonorrhea","280",145,78734,184.16
,"1996","1996","American Indian or Alaska Native","1002-5","25-29 years","25-29","Female","F","Primary and Secondary Syphilis","310",2,77033,2.60
,"1996","1996","American Indian or Alaska Native","1002-5","25-29 years","25-29","Male","M","Chlamydia","274",198,78786,251.31
,"1996","1996","American Indian or Alaska Native","1002-5","25-29 years","25-29","Male","M","Gonorrhea","280",113,80266,140.78
,"1996","1996","American Indian or Alaska Native","1002-5","25-29 years","25-29","Male","M","Primary and Secondary Syphilis","310",4,78366,5.10
,"1996","1996","American Indian or Alaska Native","1002-5","30-34 years","30-34","Female","F","Chlamydia","274",416,83624,497.46
,"1996","1996","American Indian or Alaska Native","1002-5","30-34 years","30-34","Female","F","Gonorrhea","280",97,85138,113.93
,"1996","1996","American Indian or Alaska Native","1002-5","30-34 years","30-34","Female","F","Primary and Secondary Syphilis","310",5,83210,6.01
,"1996","1996","American Indian or Alaska Native","1002-5","30-34 years","30-34","Male","M","Chlamydia","274",112,80773,138.66
,"1996","1996","American Indian or Alaska Native","1002-5","30-34 years","30-34","Male","M","Gonorrhea","280",81,82226,98.51
,"1996","1996","American Indian or Alaska Native","1002-5","30-34 years","30-34","Male","M","Primary and Secondary Syphilis","310",4,80522,4.97
,"1996","1996","American Indian or Alaska Native","1002-5","35-39 years","35-39","Female","F","Chlamydia","274",225,88205,255.09
,"1996","1996","American Indian or Alaska Native","1002-5","35-39 years","35-39","Female","F","Gonorrhea","280",54,89848,60.10
,"1996","1996","American Indian or Alaska Native","1002-5","35-39 years","35-39","Female","F","Primary and Secondary Syphilis","310",2,87895,2.28
,"1996","1996","American Indian or Alaska Native","1002-5","35-39 years","35-39","Male","M","Chlamydia","274",40,82416,48.53
,"1996","1996","American Indian or Alaska Native","1002-5","35-39 years","35-39","Male","M","Gonorrhea","280",66,84057,78.52
